
// range 230에 scope 170이 보통맵 설정							
// range_IN : 맵에 진입시 range

// rotationFrom -360 , To : 360 이 보통맵 설정												
// rotation_IN :  맵에 진입시 rotation_IN 으로 진입														

// altitudeFrom -50 , To : -65 이 보통맵 설정															
//              -25 는 보통맵의 최대허용범위															
// altitude_IN : 맵에 진입시 altitude_IN으로 진입															

// 맵 이름 	range	scope 	range_IN	rotationFrom 	rotationTo	rotation_IN	altitudeFrom	altitudeTo	altitude_IN							
//ex_map02.rsw#	250#	250#	500#		0#		90#		45#		-40#		-65#		-65#	

ecl_hub01.rsw#	210#	50#	250#		45#		65#		50#		-35#		-45#		-40#	
moc_pryd06.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_prydb1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_prydn1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_prydn2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_ruins.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mora.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
morocc.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moscovia.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mosk_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mosk_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mosk_dun03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mosk_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mosk_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
nameless_i.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
nameless_n.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_1-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_1-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_1-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_1-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_2-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_2-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_2-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_2-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_3-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_3-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_3-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_3-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_4-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_4-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_4-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_4-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_5-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_5-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_5-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
new_5-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
nif_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
nif_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
niflheim.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
niflxmas.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
nyd_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
nyd_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
odin_tem01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
odin_tem02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
odin_tem03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
orcsdun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
orcsdun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pay_arche.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pay_dun00.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pay_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pay_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pay_dun03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pay_dun04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pay_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pay_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pay_fild03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pay_fild04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pay_fild05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pay_fild06.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pay_fild07.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pay_fild08.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pay_fild09.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pay_fild10.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pay_fild11.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pay_gld.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
payg_cas01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
payg_cas02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
payg_cas03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
payg_cas04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
payg_cas05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
payon.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
poring_c01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
poring_c02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
poring_w01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
poring_w02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prontera.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_fild00.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_fild03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_fild04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_fild05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_fild06.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_fild07.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_fild08.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_fild09.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_fild10.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_fild11.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_gld.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_maze01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_maze02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_maze03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_monk.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_sewb1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_sewb2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_sewb3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prt_sewb4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prtg_cas01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prtg_cas02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prtg_cas03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prtg_cas04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
prtg_cas05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_2vs2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_1-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_1-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_1-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_1-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_1-5.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_2-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_2-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_2-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_2-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_2-5.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_3-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_3-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_3-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_3-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_3-5.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_4-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_4-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_4-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_4-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_4-5.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_5-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_5-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_5-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_5-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_5-5.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_6-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_6-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_6-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_6-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_6-5.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_7-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_7-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_7-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_7-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_7-5.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_8-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_8-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_8-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_8-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_8-5.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_n_room.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_room.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_1-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_1-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_1-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_1-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_1-5.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_2-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_2-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_2-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_2-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_2-5.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_3-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_3-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_3-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_3-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_3-5.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_4-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_4-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_4-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_4-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_4-5.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_5-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_5-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_5-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_5-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_5-5.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_6-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_6-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_6-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_6-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_6-5.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_7-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_7-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_7-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_7-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_7-5.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_8-1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_8-2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_8-3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_8-4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_8-5.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
pvp_y_room.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ra_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ra_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ra_fild03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ra_fild04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ra_fild05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ra_fild06.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ra_fild07.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ra_fild08.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ra_fild09.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ra_fild10.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ra_fild11.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ra_fild12.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ra_fild13.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ra_san01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ra_san02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ra_san03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ra_san04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ra_san05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
rachel.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
sch_gld.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
schg_cas01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
schg_cas02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
schg_cas03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
schg_cas04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
schg_cas05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
schg_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
schg_que01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
sec_in01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
sec_in02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
sec_pri.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
spl_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
spl_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
spl_fild03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
splendide.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
te_alde_gld.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
te_aldecas1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
te_aldecas2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
te_aldecas3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
te_aldecas4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
te_aldecas5.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
te_prt_gld.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
te_prtcas01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
te_prtcas02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
te_prtcas03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
te_prtcas04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
te_prtcas05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
teg_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
teg_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
tha_t01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
tha_t02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
tha_t03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
tha_t04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
tha_t05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
tha_t06.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
tha_t07.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
tha_t08.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
tha_t09.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
tha_t10.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
tha_t11.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
tha_t12.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
thana_boss.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
thor_camp.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
thor_v01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
thor_v02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
thor_v03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
treasure01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
treasure02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
tur_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
tur_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
tur_dun03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
tur_dun04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
tur_dun05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
tur_dun06.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
um_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
um_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
um_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
um_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
um_fild03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
um_fild04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
umbala.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ve_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ve_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ve_fild03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ve_fild04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ve_fild05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ve_fild06.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ve_fild07.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
veins.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
xmas.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
xmas_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
xmas_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
xmas_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
yuno.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
yuno_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
yuno_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
yuno_fild03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
yuno_fild04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
yuno_fild05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
yuno_fild06.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
yuno_fild07.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
yuno_fild08.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
yuno_fild09.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
yuno_fild10.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
yuno_fild11.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
yuno_fild12.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
